RespondentID,Have you seen any of the 6 films in the Star Wars franchise?,Do you consider yourself to be a fan of the Star Wars film franchise?,Which character shot first?,Are you familiar with the Expanded Universe?,Do you consider yourself to be a fan of the Expanded Universe?æ,Do you consider yourself to be a fan of the Star Trek franchise?,Gender,Age,Household Income,Education,Location (Census Region),Watched Star Wars Flim,Ranking The Flims (1-6),Chararcter Favourabilty
3289262511.0,Yes,0,Han,0,No Response,0,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['1', '3', '2', '6', '4', '5']","['Somewhat favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat unfavorably', 'Somewhat favorably', 'Somewhat favorably', 'Very favorably', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Unfamiliar (N/A)', 'Very favorably']"
3289242777.0,No,No Response,No Response,No Response,No Response,0,Female,30-44,"$100,000 - $149,999",Graduate degree,West North Central,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3289236782.0,Yes,1,I don't understand this question,0,No Response,1,Male,30-44,No Response,Some college or Associate degree,Middle Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['5', '6', '2', '3', '1', '4']","['Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Unfamiliar (N/A)', nan, 'Unfamiliar (N/A)']"
3289198607.0,Yes,0,Han,1,0,0,Male,18-29,"$25,000 - $49,999",Graduate degree,New England,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['2', '5', '6', '1', '3', '4']","['Somewhat unfavorably', 'Somewhat favorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Very unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Somewhat unfavorably', 'Somewhat favorably', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Very favorably']"
3289179421.0,No,No Response,No Response,No Response,No Response,0,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3289178815.0,Yes,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3289177383.0,Yes,1,Han,1,1,1,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,New England,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['6', '4', '5', '2', '1', '3']","['Very favorably', 'Somewhat favorably', 'Very favorably', 'Somewhat unfavorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Somewhat unfavorably', 'Somewhat favorably', 'Very favorably', 'Very favorably', 'Very unfavorably', 'Very unfavorably', 'Very favorably']"
3289172932.0,No,No Response,No Response,No Response,No Response,1,Female,45-60,"$50,000 - $99,999",High school degree,South Atlantic,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3289156917.0,Yes,1,Greedo,1,1,1,Male,30-44,"$100,000 - $149,999",Graduate degree,Middle Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['6', '3', '5', '1', '2', '4']","['Very favorably', 'Very favorably', 'Very favorably', 'Somewhat unfavorably', 'Somewhat favorably', 'Very unfavorably', 'Somewhat unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat unfavorably', 'Somewhat favorably', 'Very favorably', 'Very unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably']"
3289153001.0,Yes,0,Greedo,0,No Response,0,No Response,No Response,No Response,No Response,No Response,"['Star Wars: Episode I  The Phantom Menace', nan, nan, nan, nan, nan]","['1', '2', '3', '4', '5', '6']","['Somewhat unfavorably', 'Somewhat unfavorably', 'Somewhat unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)', 'Somewhat unfavorably', 'Somewhat unfavorably', 'Somewhat unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Neither favorably nor unfavorably (neutral)']"
